Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count
"6711 Johnny Morris Rd,Austin,TX",30.3010887,-97.64677379999999,False,Dog,0
"7337 Manchaca Road,Austin,TX",30.196711,-97.8074335,False,Cat,1
"603 Davis,Austin,TX",30.2595051,-97.7393505,False,Dog,2
"12207 Timber Arch,Manor,TX",30.3697564,-97.5194102,False,Other,0
"11611 Raymond C Ewry Lane,Austin,TX",30.1519585,-97.8409035,False,Cat,3
"3313 East 12Th Street,Austin,TX",30.27662309999999,-97.6993781,False,Dog,0
"710 E Ben White Blvd,Austin,TX",30.2210485,-97.7540937,False,Cat,3
"6801 River Place Blvd,Austin,TX",30.3968422,-97.84241440000001,False,Other,1
"10081 Old Manchaca Road,Austin,TX",30.1731365,-97.8307444,False,Dog,5
"Gardner Road And Bolm Road,Austin,TX",30.2558338,-97.6849685,False,Cat,1
"1700 Terri Road,Austin,TX",30.204469,-97.75588599999999,False,Dog,1
"Mebee Street And Mattie Street,Austin,TX",30.297292,-97.7028113,False,Dog,4
"Burleson Road And Princeton Drive,Austin,TX",30.22353309999999,-97.7347554,False,Cat,2
"Wichersham And Oltorf Street,Austin,TX",30.22561129999999,-97.72435639999999,False,Cat,2
"1902 W 37Th Street,Austin,TX",30.3107354,-97.754292,False,Cat,14
"11000 Block Of Research Blvd,Austin,TX",30.403239,-97.7460184,False,Cat,12
"Wedgewood Dr & Braker Lane,Austin,TX",35.16355679999999,-80.86068949999999,False,Dog,6
"1101 Wheatley Avenue,Austin,TX",30.3334079,-97.6938273,False,Cat,5
"East Ben White And Burleson Road,Austin,TX",30.2153913,-97.7334446,False,Dog,2
"2417 W Ben White,Austin,TX",30.2319959,-97.7943584,False,Cat,36
"1709 East 38Th,Austin,TX",30.2903729,-97.7130815,False,Cat,5
"5300 Apple Orchard Lane,Austin,TX",30.1995234,-97.7317906,False,Dog,1
"8004 Seminary Ridge,Austin,TX",30.1967434,-97.8210694,False,Cat,1
"8311 Citation,Travis,TX",30.1347156,-97.6771788,True,Dog,0
"12113 Stoney Meadow Drive,Del Valle,TX",30.158899,-97.6382299,False,Cat,0
