Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count,Intakes within Radius
"4319 Airport,Austin,TX",30.299887,-97.71095419999999,True,Dog,7.0,50.0
"7201 Woodhollow Dr,Austin,TX",30.356542,-97.75094729999999,True,Dog,19.0,32.0
"8357 Steamline Circle,Austin,TX",30.1874082,-97.8121883,True,Dog,7.0,35.0
"5404 Gloucester Lane,Austin,TX",30.2997276,-97.6800023,True,Dog,1.0,57.0
"2202 Willow Creek Dr,Austin,TX",30.2307938,-97.7303092,True,Cat,2.0,102.0
"4610 Avenue D,Austin,TX",30.3119342,-97.72798399999999,True,Dog,20.0,29.0
"10708 Onyx Cv,Austin,TX",30.4484701,-97.81286089999999,True,Dog,10.0,18.0
"4705 Bayside,Austin,TX",30.2004111,-97.7406559,True,Dog,1.0,74.0
"20824 Cameron Rd,Travis,TX",30.461108,-97.488485,True,Dog,0.0,1.0
"9000 Anna St,Austin,TX",30.1715321,-97.79497140000001,True,Dog,3.0,28.0
"8417 Alum Rock Dr,Austin,TX",30.1537347,-97.7394048,True,Dog,0.0,34.0
"1806 Woodland Dr,Austin,TX",30.2380064,-97.73187010000001,True,Cat,4.0,100.0
"11410 Darrin Lane,Del Valle,TX",30.1602848,-97.649816,True,Dog,0.0,14.0
"14318 Cummins Way,Manor,TX",30.3668776,-97.5205278,True,Cat,0.0,12.0
"11033 Crossland Dr,Austin,TX",30.44151819999999,-97.8218528,True,Dog,5.0,6.0
"4407 Norwood Ln,Austin,TX",30.1880514,-97.68736899999999,True,Dog,0.0,8.0
"801 Primrose Ln,Austin,TX",30.5005278,-97.82890019999999,True,Dog,8.0,2.0
"5603 Tura Ln,Austin,TX",30.2677106,-97.6811733,True,Dog,1.0,69.0
"1817 E Oltorf St,Austin,TX",30.230481,-97.7367541,True,Cat,4.0,87.0
"911 E 3Rd St,Austin,TX",30.2622951,-97.73396509999999,True,Dog,6.0,90.0
"5207 Bennett Ave,Austin,TX",30.312457,-97.712375,True,Dog,8.0,45.0
"6903 Daugherty St,Austin,TX",30.3463933,-97.73805329999999,True,Cat,18.0,25.0
"2704 Melba Pass,Austin,TX",30.4659425,-97.8395323,True,Cat,4.0,4.0
"10600 Winchelsea Ct,Austin,TX",30.4351349,-97.81287549999999,True,Dog,3.0,6.0
"124 West Anderson Lane,Austin,TX",30.3447022,-97.70523279999999,True,Dog,6.0,83.0
"12413 Mellow Meadow,Austin,TX",30.4584397,-97.796859,True,Cat,13.0,29.0
"7131 Wood Hollow Dr,Austin,TX",30.3554657,-97.75125779999999,True,Dog,19.0,28.0
"401 Tawny Dr,Austin,TX",30.1898762,-97.7867691,True,Dog,3.0,56.0
"106 Pine Barrens Ct,Austin,TX",30.33674,-97.9967717,True,Cat,0.0,1.0
"5002 Smokey Valley,Austin,TX",30.363091,-97.78070799999999,True,Cat,6.0,2.0
"6300 S Congress Ave,Austin,TX",30.1982993,-97.77705069999999,True,Dog,6.0,80.0
"621 W 37Th Street,Austin,TX",30.3025434,-97.74024969999999,True,Dog,19.0,27.0
"18011 Werchan,Manor,TX",30.43324599999999,-97.41355399999999,True,Dog,0.0,2.0
"1125 Shady Lane,Austin,TX",30.261511,-97.690301,True,Cat,1.0,63.0
"212 Pedernales,Austin,TX",30.2558105,-97.7161952,True,Dog,2.0,69.0
"3603 Southridge Dr,Austin,TX",30.23474,-97.77690079999999,True,Dog,56.0,65.0
"1023 Strickland Dr,Austin,TX",30.1827611,-97.80477739999999,True,Dog,7.0,40.0
"2801 Wells Branch Parkwy,Travis,TX",30.4408406,-97.69053079999999,True,Cat,0.0,22.0
"3300 Killingsworth Ln,Pflugerville,TX",30.4132721,-97.605339,True,Dog,1.0,6.0
"1301 Crossing Place,Austin,TX",30.2359449,-97.7115007,True,Dog,3.0,91.0
"969 And Decker Creek,Austin,TX",30.276794,-97.6372739,True,Dog,0.0,31.0
"1109 South Pleasant,Austin,TX",30.2404387,-97.7153987,True,Cat,3.0,87.0
"9613 Nightstar Drive,Del Valle,TX",30.2212147,-97.6664156,True,Cat,0.0,16.0
"3105 S Ih 35,Austin,TX",30.2252278,-97.74451959999999,True,Dog,11.0,62.0
"442 Brady Lane,Travis,TX",30.27693129999999,-97.7925801,True,Cat,14.0,6.0
"10704 Parsons Road,Travis,TX",30.30481,-97.514684,True,Cat,0.0,2.0
"18709 Great Falls Drive,Travis,TX",30.318413,-97.52715599999999,True,Cat,0.0,7.0
"6921 Blessing Ave,Austin,TX",30.3268165,-97.6959839,True,Dog,6.0,50.0
"10212 Mendinah Greens Drive,Austin,TX",30.502726,-97.75847549999999,True,Dog,2.0,3.0
"1504 Ridgehaven Dr,Austin,TX",30.3125882,-97.6963748,True,Dog,7.0,56.0
"7113 Appaloosa Ct,Austin,TX",30.0612766,-97.7152339,True,Cat,0.0,9.0
"402 Arbor Lane,Austin,TX",30.2097085,-97.7780257,True,Cat,12.0,61.0
"2900 Sunridge Drive,Austin,TX",30.2212529,-97.7259133,True,Dog,2.0,75.0
"810 Bastrop Hwy,Austin,TX",30.231039,-97.68521299999999,True,Dog,1.0,56.0
"3809 S Congress Ave,Austin,TX",30.2267641,-97.7615166,True,Dog,16.0,53.0
"12221 Mustang Mesa Drive,Travis,TX",30.061749,-97.717388,True,Dog,0.0,8.0
"1012 Bird Creek,Austin,TX",30.3721208,-97.6983023,True,Dog,1.0,75.0
"1881 Grove Blvd,Austin,TX",30.2286368,-97.7065884,True,Dog,2.0,91.0
"1148 Poquito St,Austin,TX",30.26958789999999,-97.7177121,True,Dog,2.0,73.0
"7601 Daffan Ln,Austin,TX",30.3163875,-97.6245196,True,Dog,0.0,12.0
"521 Woodward St,Austin,TX",30.2262633,-97.754031,True,Dog,17.0,57.0
"18602 River Timber Dr,Travis,TX",30.2147701,-97.5230138,True,Other,0.0,4.0
"5560 El Molino Cir,Del Valle,TX",30.1733554,-97.6276738,True,Cat,0.0,26.0
"2425 E Riverside Drive,Austin,TX",30.2356668,-97.7253207,True,Dog,4.0,106.0
